,Questions,Queries
10,Phân tích sự kiện 14-7-1789 ở pháp,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name =   ""14-7-1789""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""pháp""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
11,Tổng khởi nghĩa giành chính quyền tháng Tám năm 1945 ở Việt Nam bùng nổ trong bối cảnh lịch sử nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Tổng khởi nghĩa giành chính quyền tháng Tám""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1945""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Việt Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
12,Nước Cộng hòa Nhân dân Trung Hoa được thành lập vào thời gian nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Nước Cộng hòa Nhân dân Trung Hoa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
13,Vì sao phải thành lập liên bang cộng hòa xã hội chủ nghĩa xô viết,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""liên bang cộng hòa xã hội chủ nghĩa xô viết""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
14,Nhóm năm nước sáng lập ASEAN gồm những quốc gia nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""ASEAN""
match (e)-[:thanh_lap_boi]-(b)
return b"
15,Chiến tranh thuốc phiện bắt đầu khi nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thuốc phiện""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
16,"Đại hội Xô viết toàn Nga lần Thứ hai, khai mạc đêm 25/10/1917 đã","match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội Xô viết toàn Nga lần Thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đêm 25/10/1917""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
17,Cuộc khởi nghĩa của Nông Văn Vân diễn ra ở đâu?,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Nông Văn Vân""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
18,Cuộc khởi nghĩa của Phan Bá Vành diễn ra ở đâu?,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Phan Bá Vành""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
19,Đảng Xã hội dân chủ Nhật Bản được thành lập ở đâu?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Xã hội dân chủ Nhật Bản""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
20,Mĩ ném bom xuống thị xã Đồng Hới và đảo Cồn Cỏ vào năm nào?,"match (e:NemBom)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Mĩ""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where a.name = ""thị xã Đồng Hới""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where b.name = ""đảo Cồn Cỏ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(d)
return d"
21,Đảng Công nhân xã hội dân chủ Nga được thành lập khi nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Công nhân xã hội dân chủ Nga""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
22,Việc kí kết Điều ước Tân Sửu có ý nghĩa gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:y_nghia]-(b)
return b"
23,Đông Dương cộng sản đảng được thành lập bởi ai?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đông Dương cộng sản đảng""
match (e)-[:thanh_lap_boi]-(b)
return b"
24,Mĩ ném bom vào thành phố Hi-rô-si-ma vào thời gian nào?,"match (e:NemBom)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Mĩ""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where a.name = ""thành phố Hi-rô-si-ma""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c"
25,Cuộc cách mạng tư sản Anh diễn ra vào thời gian nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc cách mạng tư sản Anh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
26,Quốc dân đại hội Tân Trào được tổ chức vào thời gian nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Quốc dân đại hội Tân Trào""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
27,trình bày diễn biến chính của Cách mạng Hà Lan vào thế kỉ XVI,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Hà Lan""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XVI""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
28,Phe Liên Minh bao gồm những nước nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Phe Liên Minh""
match (e)-[:thanh_lap_boi]-(b)
return b"
29,Diễn biến phong trào nông dân Yên Thế,"match (e:Event)-[:ten_goi]-(a) where a.name = ""phong trào nông dân Yên Thế""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
30,Mục đích của việc ban hành sắc lệnh Quốc hữu hóa đường sắt của chính quyền Mãn Thanh là gì?,"match (e:Event)-[:ban_hanh]-(a) where a.name = ""sắc lệnh Quốc hữu hóa đường sắt""
match (e)-[:doi_tuong_ban_hanh]-(b) where b.name = ""chính quyền Mãn Thanh""
match (e)-[:muc_tieu]-(c) 
return c"
31,Hãy nêu diễn biến phong trào Bãi Sậy,"match (e:Event)-[:ten_goi]-(a) where a.name = ""phong trào Bãi Sậy"" 
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
32,Hội nghị Ianta (1945) có sự tham gia của các nước nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""1945""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c"
33,Phong trào Mặt trận Nhân dân chống phát xít và nguy cơ chiến tranh diễn ra như thế nào?,"match (e:Event)-[:ten_goi]-(a) where a.name=""Phong trào Mặt trận Nhân dân chống phát xít và nguy cơ chiến tranh""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
34,Trung Quốc Đồng minh hội được thành lập vào thời gian nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Quốc Đồng minh hội""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
35,Chiến tranh thế giới thứ nhất bắt đầu vào năm nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thế giới thứ nhất""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
36,Các bên tham gia kí kết Hòa ước Bret Litốp là ai?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hòa ước Bret Litốp""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b"
37,Chính phủ Pháp đã cử ai làm Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương để thay thế cho tướng Xalăng?,"match (e:Event)-[:doi_tuong_bo_nhiem]-(a) where a.name = ""Chính phủ Pháp""
match (e)-[:vai_tro]-(b) where b.name = ""Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương""
match (e)-[:doi_tuong_bi_thay_the]-(c) where c.name = ""tướng Xalăng""
match (e)-[:doi_tuong_dam_nhiem]-(d)
return d"
38,Đảng Cộng sản Ấn Độ được thành lập vào năm nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản Ấn Độ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
39,Phong trào cách mạng 1930 - 1931 ở Việt Nam diễn ra trong bối cảnh như nào ạ!!.Em cảm ơn,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào cách mạng 1930 - 1931""
match (e)-[dien_ra_o]-(b) where b.name = ""Việt Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
40,Cộng hòa dân chủ Đức được hình thành như thế nào?,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Cộng hòa dân chủ Đức""
match path=(e)-[*0..1]-(y:Entity)
return path"
41,"Cuối thế kỉ XVI, Phi-líp-pin chính thức bị thực dân nào xâm lược và thông tri?","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Cuối thế kỉ XVI""
match (e)-[:doi_tuong_bi_chiem]-(b) where b.name = ""Phi-líp-pin""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(c)
return c"
42,Mục tiêu của cuộc Cách mạng Hà Lan?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc Cách mạng Hà Lan""
match (e)-[:muc_tieu]-(b)
return b"
43,Quốc tế Cộng sản được thành lập ở đâu?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Quốc tế Cộng sản""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
44,DIỄN BIẾN CHIẾN TRANH THẾ GIỚI THỨ NHẤT,"match (e:Event)-[:ten_goi]-(a) where a.name = ""CHIẾN TRANH THẾ GIỚI THỨ NHẤT""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
45,Liên hiệp những người con yêu quý của nhân dân được thành lập bởi ai?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên hiệp những người con yêu quý của nhân dân""
match (e)-[:thanh_lap_boi]-(b) 
return b"
46,cuộc khởi nghĩa Thái bình Thiên quốc diễn ra ở đâu?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Thái bình Thiên quốc""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
47,Hội nghị Tuân Nghĩa diễn ra ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
48,"Trong những năm cuối thế kỉ XIX - đầu thế kỉ XX, nhân dân Cam-pu-chia nổi dậy đấu tranh chống lại ách cai trị của thực dân","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau]-(a) where a.name = ""những năm cuối thế kỉ XIX""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b) where b.name = ""đầu thế kỉ XX""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Cam-pu-chia""
match (e)-[:doi_tuong_bi_tan_cong]-(d)
return d"
49,Mục đích của việc thành lập Hội Quốc liên?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội Quốc liên""
match (e)-[:muc_tieu]-(b)
return b"
50,Chính phủ Pháp đã cử tướng Nava làm Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương để thay thế cho ai?,"match (e:Event)-[:doi_tuong_bo_nhiem]-(a) where a.name = ""Chính phủ Pháp""
match (e)-[:doi_tuong_dam_nhiem]-(b) where b.name = ""tướng Nava""
match (e)-[:vai_tro]-(c) where c.name = ""Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương""
match (e)-[:doi_tuong_bi_thay_the]-(d)
return d"
51,Liên minh dân tộc các nước cộng hòa châu Mĩ được thành lập vào năm nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh dân tộc các nước cộng hòa châu Mĩ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
52,kết quả của Chiến tranh thế giới thứ nhất,"match (e:Event)-[:ten_goi]->(a) where a.name =  ""Chiến tranh thế giới thứ nhất"" 
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
53,Nguyên nhân diễn ra trận chiến Bạch Đằng năm 938 là gì?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận chiến Bạch Đằng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name =  ""năm 938""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
54,Liên hiệp đấu tranh giải phóng giai cấp công nhân được thành lập ở đâu?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên hiệp đấu tranh giải phóng giai cấp công nhân""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
55,Đại hội lần thứ nhất các xô viết toàn Liên bang diễn ra vào khi nào?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ nhất các xô viết toàn Liên bang""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
56,"Đến cuối thế kỉ XIX, Việt Nam, Lào, Campuchia là thuộc địa của nước nào ?","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""cuối thế kỉ XIX""
match (e)-[:doi_tuong_bi_chiem]-(b) where b.name = ""Việt Nam""
match (e)-[:doi_tuong_bi_chiem]-(c) where c.name = ""Lào""
match (e)-[:doi_tuong_bi_chiem]-(d) where d.name = ""Campuchia""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(f)
return f"
57,Một trong những nội dung quan trọng của Hội nghị Ianta là gì,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:mo_ta]-(b)
return b"
58,Trận Rạch Gầm - Xoài Mút bắt đầu vào thời gian nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Rạch Gầm - Xoài Mút""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
59,Chiến thắng của trận Mát-xcơ-va (12 - 1941) mang ý nghĩa gì?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận Mát-xcơ-va""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""12 - 1941""
match (e)-[:y_nghia]-(c)
return c"
60,chiến tranh thế giới thứ hai diễn ra vào ngày nào,"match (e:Event)-[:ten_goi]-(a) where a.name = ""chiến tranh thế giới thứ hai""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
61,ý nghĩa của Cách mạng Tân Hợi  ở Trung Quốc?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Trung Quốc""
match (e)-[:y_nghia]-(c)
return c"
62,Chiến tranh thuốc phiện kết thúc khi nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thuốc phiện""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b"
63,Mục đích thành lập Hội đồng nhân dân In-đô-nê-xi-a là gì?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội đồng nhân dân In-đô-nê-xi-a""
match (e)-[:muc_tieu]-(b)
return b"
64,Trình bày kết quả của Cách mạng Tân Hợi ở Trung Quốc (1911).,"match (e:Event)-[:ten_goi]-(a) where a.name =  ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name =  ""Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""1911""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l 
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
65,Đảng Cộng sản Trung Quốc ra đời trong bối cảnh nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
66,Chiến tranh Bắc phạt kết thúc vào năm nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh Bắc phạt""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b"
67,Cách mạng Tân Hợi diễn ra khi nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b"
68,Hiệp định đình chiến giữa Pháp và Đức có nội dung gì?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định đình chiến""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Pháp""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đức""
match (e)-[:mo_ta]-(d)
return d"
69,cuộc khởi nghĩa Thái bình Thiên quốc kết thúc khi nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Thái bình Thiên quốc""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b"
70,Cách mạng tháng Mười Nga diễn ra ở đâu,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng tháng Mười Nga""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
71,Sự kiện nổi bật nhất năm 1889 ở Nhật Bản là,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1889""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Nhật Bản""
match path = (e)-[*0..1]-(y:Entity)
return path"
72,Trung Hoa Dân quốc được thành lập ở đâu?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Hoa Dân quốc""
match (e)-[:(dien_ra_o|thuoc)*]-(b) 
return b"
73,"Trong những năm cuối thế kỉ XIX - đầu thế kỉ XX, nhân dân Lào nổi dậy đấu tranh chống lại ách cai trị của thực dân nào?","match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau]-(a) where a.name = ""những năm cuối thế kỉ XIX""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b) where b.name = ""đầu thế kỉ XX""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Lào""
match (e)-[:doi_tuong_bi_tan_cong]-(d)
return d"
74,Cuộc cách mạng Tân Hợi (1911) đã lật đổ triều đại phong kiến nào ở Trung Quốc?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc cách mạng Tân Hợi""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""1911""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Trung Quốc""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
75,Điều ước Tân Sửu đã được kí kết bởi những quốc gia nào?,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b"
76,Diễn biến chiến dịch biên giới thu đông năm 1950,"match (e:Event)-[:ten_goi]-(a) where a.name=""chiến dịch biên giới thu đông""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name=""năm 1950""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
77,Trận Ngọc Hồi - Đống Đa kết thúc vào thời gian nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Ngọc Hồi - Đống Đa""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b"
78,Nguyên nhân diễn ra cuộc khởi nghĩa Lam Sơn là gì?,"match (e:Event)-[:ten_goi]-(a) where a.name=""cuộc khởi nghĩa Lam Sơn""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
79,Hội nghị Ianta (2/1945) đã họp ở đâu?,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""2/1945""
match (e)-[:(dien_ra_o|thuoc)*]-(c)
return c"
80,Đảng Cộng Sản Việt Nam được thành lập trong bối cảnh nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng Sản Việt Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
